output_area,All households,Number of cars or vans in household: No cars or vans,Number of cars or vans in household: One car or van,Number of cars or vans in household: Two cars or vans,Number of cars or vans in household: Three cars or vans,Number of cars or vans in household: Four or more cars or vans,All cars or vans in the households
S00088956,74,1,18,48,6,1,136
S00088957,26,4,7,8,5,2,49
S00088958,27,0,3,22,1,1,55
S00088959,32,1,10,15,5,1,59
S00088960,23,0,1,10,10,2,62
S00088961,22,1,8,11,2,0,36
S00088962,26,1,3,12,7,3,60
S00088963,33,1,9,16,6,1,63
S00088964,33,1,9,17,6,0,61
S00088965,58,4,22,19,13,0,99
S00088966,50,5,21,13,9,2,84
S00088967,22,0,8,8,0,6,53
S00088968,21,2,4,11,1,3,43
S00088969,56,4,19,16,11,6,112
S00088970,48,8,24,12,4,0,60
S00088971,41,10,22,7,2,0,42
S00088972,75,31,36,5,1,2,62
S00088973,71,39,28,4,0,0,36
S00088974,59,36,19,4,0,0,27
S00088975,39,18,16,5,0,0,26
S00088976,45,18,23,3,1,0,32
S00088977,40,23,13,4,0,0,21
S00088978,33,8,19,4,2,0,33
S00088979,49,22,21,6,0,0,33
S00088980,45,25,15,4,1,0,26
S00088981,43,27,15,1,0,0,17
S00088982,39,16,20,3,0,0,26
S00088983,44,33,11,0,0,0,11
S00088984,44,29,14,0,1,0,17
S00088985,50,22,25,2,1,0,32
S00088986,77,56,20,1,0,0,22
S00088987,37,23,9,5,0,0,19
S00088988,57,39,17,1,0,0,19
S00088989,51,28,20,2,1,0,27
S00088990,63,31,27,5,0,0,37
S00088991,81,45,34,2,0,0,38
S00088992,72,60,12,0,0,0,12
S00088993,61,21,31,9,0,0,49
S00088994,34,20,10,2,0,2,27
S00088995,36,21,13,2,0,0,17
S00088996,41,24,14,3,0,0,20
S00088997,67,5,30,30,1,1,97
S00088998,57,1,29,22,5,0,88
S00088999,54,6,25,20,3,0,74
S00089000,89,24,54,11,0,0,76
S00089001,55,10,24,19,2,0,68
S00089002,53,10,22,17,4,0,68
S00089003,43,8,22,12,0,1,50
S00089004,51,15,21,13,2,0,53
S00089005,56,3,30,23,0,0,76
S00089006,42,4,17,18,2,1,63
S00089007,62,12,40,10,0,0,60
S00089008,48,4,37,7,0,0,51
S00089009,61,13,34,11,3,0,65
S00089010,67,14,38,13,2,0,70
S00089011,86,40,37,7,2,0,57
S00089012,61,16,39,5,1,0,52
S00089013,41,8,27,5,1,0,40
S00089014,67,12,45,10,0,0,65
S00089015,54,10,35,8,1,0,54
S00089016,54,22,27,5,0,0,37
S00089017,50,5,35,9,1,0,56
S00089018,54,10,29,12,3,0,62
S00089019,70,18,38,13,1,0,67
S00089020,48,21,21,6,0,0,33
S00089021,45,13,19,10,2,1,49
S00089022,52,20,29,3,0,0,35
S00089023,48,6,35,6,1,0,50
S00089024,47,24,17,6,0,0,29
S00089025,48,31,13,4,0,0,21
S00089026,44,13,25,5,1,0,38
S00089027,71,32,32,7,0,0,46
S00089028,59,17,38,4,0,0,46
S00089029,59,22,34,3,0,0,40
S00089030,48,18,27,3,0,0,33
S00089031,80,31,38,11,0,0,60
S00089032,30,12,14,2,2,0,24
S00089033,51,25,23,3,0,0,29
S00089034,34,11,17,5,1,0,30
S00089035,73,39,32,2,0,0,36
S00089036,39,19,19,1,0,0,21
S00089037,54,23,25,5,0,1,39
S00089038,39,32,7,0,0,0,7
S00089039,44,27,13,4,0,0,21
S00089040,39,25,11,2,1,0,18
S00089041,70,22,37,10,0,1,61
S00089042,28,20,8,0,0,0,8
S00089043,59,31,21,6,1,0,36
S00089044,34,20,12,2,0,0,16
S00089045,36,19,15,2,0,0,19
S00089046,43,6,25,9,2,1,53
S00089047,52,13,25,11,3,0,56
S00089048,46,19,17,10,0,0,37
S00089049,53,12,25,14,1,1,60
S00089050,48,14,26,8,0,0,42
S00089051,71,31,28,8,4,0,56
S00089052,70,21,35,13,1,0,64
S00089053,68,36,26,6,0,0,38
S00089054,48,24,18,4,2,0,32
S00089055,57,30,22,5,0,0,32
S00089056,50,25,21,2,2,0,31
S00089057,57,35,19,3,0,0,25
S00089058,70,45,23,2,0,0,27
S00089059,39,29,10,0,0,0,10
S00089060,38,20,17,1,0,0,19
S00089061,41,25,14,2,0,0,18
S00089062,32,23,7,2,0,0,11
S00089063,48,27,20,1,0,0,22
S00089064,55,31,21,3,0,0,27
S00089065,67,50,15,2,0,0,19
S00089066,39,25,11,2,1,0,18
S00089067,52,34,14,4,0,0,22
S00089068,42,22,17,2,1,0,24
S00089069,32,16,15,1,0,0,17
S00089070,71,42,23,6,0,0,35
S00089071,57,35,20,2,0,0,24
S00089072,73,48,21,2,2,0,31
S00089073,63,39,19,4,1,0,30
S00089074,75,44,28,3,0,0,34
S00089075,46,28,12,5,1,0,25
S00089076,75,48,24,2,1,0,31
S00089077,55,31,20,2,2,0,30
S00089078,31,19,8,4,0,0,16
S00089079,25,7,14,3,1,0,23
S00089080,42,26,15,1,0,0,17
S00089081,50,27,20,3,0,0,26
S00089082,44,24,19,1,0,0,21
S00089083,53,28,19,6,0,0,31
S00089084,47,19,21,5,1,1,39
S00089085,54,25,18,9,1,1,43
S00089086,38,13,18,4,2,1,36
S00089087,75,38,32,4,1,0,43
S00089088,45,15,27,3,0,0,33
S00089089,55,25,23,7,0,0,37
S00089090,52,29,18,3,2,0,30
S00089091,49,23,22,4,0,0,30
S00089092,53,30,14,9,0,0,32
S00089093,78,46,28,3,1,0,37
S00089094,40,22,16,2,0,0,20
S00089095,51,23,23,5,0,0,33
S00089096,40,15,20,4,1,0,31
S00089097,47,32,10,5,0,0,20
S00089098,34,19,13,2,0,0,17
S00089099,50,21,23,5,1,0,36
S00089100,45,18,20,7,0,0,34
S00089101,41,25,14,2,0,0,18
S00089102,38,18,13,7,0,0,27
S00089103,52,17,33,2,0,0,37
S00089104,42,13,26,3,0,0,32
S00089105,64,24,29,10,0,1,53
S00089106,51,19,26,5,0,1,40
S00089107,43,14,25,4,0,0,33
S00089108,46,22,22,2,0,0,26
S00089109,32,19,6,7,0,0,20
S00089110,60,28,25,3,4,0,43
S00089111,63,29,23,8,3,0,48
S00089112,91,57,31,2,1,0,38
S00089113,47,37,10,0,0,0,10
S00089114,50,29,18,3,0,0,24
S00089115,72,40,25,6,1,0,40
S00089116,68,31,28,9,0,0,46
S00089117,67,41,22,4,0,0,30
S00089118,61,5,24,22,6,4,107
S00089119,42,6,16,15,4,1,62
S00089120,31,3,13,12,3,0,46
S00089121,66,26,27,11,2,0,55
S00089122,38,27,10,1,0,0,12
S00089123,56,25,15,14,1,1,50
S00089124,39,17,15,5,2,0,31
S00089125,64,21,35,6,1,1,54
S00089126,43,19,19,3,2,0,31
S00089127,41,20,15,5,1,0,28
S00089128,39,13,18,7,1,0,35
S00089129,71,6,25,32,8,0,113
S00089130,43,12,24,6,1,0,39
S00089131,40,8,22,10,0,0,42
S00089132,41,4,22,13,2,0,54
S00089133,41,7,24,8,2,0,46
S00089134,61,19,27,15,0,0,57
S00089135,73,11,33,27,1,1,94
S00089136,52,4,24,20,4,0,76
S00089137,46,4,24,15,3,0,63
S00089138,47,39,7,1,0,0,9
S00089139,37,13,16,7,0,1,34
S00089140,45,13,16,16,0,0,48
S00089141,49,8,23,12,4,2,72
S00089142,53,15,22,14,2,0,56
S00089143,41,9,21,10,1,0,44
S00089144,44,13,22,9,0,0,40
S00089145,52,7,31,11,3,0,62
S00089146,43,12,17,12,0,2,49
S00089147,47,23,23,1,0,0,25
S00089148,44,21,19,2,1,1,30
S00089149,40,19,13,7,1,0,30
S00089150,69,33,29,6,1,0,44
S00089151,37,22,12,3,0,0,18
S00089152,42,22,19,1,0,0,21
S00089153,40,20,12,7,0,1,30
S00089154,37,17,16,4,0,0,24
S00089155,39,14,17,7,1,0,34
S00089156,49,15,30,4,0,0,38
S00089157,48,18,17,9,3,1,48
S00089158,55,15,29,9,2,0,53
