output_area,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S00088956,74,3,25,16,22,7,1,0,0
S00088957,26,6,10,4,3,2,1,0,0
S00088958,27,2,4,10,8,2,0,0,1
S00088959,32,5,14,5,5,3,0,0,0
S00088960,23,0,11,3,8,1,0,0,0
S00088961,22,3,10,4,1,1,0,1,2
S00088962,26,2,6,5,9,3,1,0,0
S00088963,33,5,13,7,4,3,1,0,0
S00088964,33,3,13,9,8,0,0,0,0
S00088965,58,15,22,8,8,3,1,0,1
S00088966,50,15,16,11,4,2,0,2,0
S00088967,22,6,9,2,3,2,0,0,0
S00088968,21,1,10,6,3,1,0,0,0
S00088969,56,12,17,13,6,4,3,1,0
S00088970,48,12,21,9,6,0,0,0,0
S00088971,41,20,13,3,3,1,1,0,0
S00088972,75,42,19,8,5,1,0,0,0
S00088973,71,26,30,7,6,1,0,0,1
S00088974,59,25,16,12,3,3,0,0,0
S00088975,39,19,8,8,2,2,0,0,0
S00088976,45,24,19,1,1,0,0,0,0
S00088977,40,22,16,2,0,0,0,0,0
S00088978,33,14,15,2,1,0,1,0,0
S00088979,49,19,25,4,1,0,0,0,0
S00088980,45,26,17,2,0,0,0,0,0
S00088981,43,31,10,2,0,0,0,0,0
S00088982,39,16,20,2,1,0,0,0,0
S00088983,44,30,10,2,1,1,0,0,0
S00088984,44,34,9,1,0,0,0,0,0
S00088985,50,28,16,4,2,0,0,0,0
S00088986,77,33,37,5,1,1,0,0,0
S00088987,37,15,19,2,1,0,0,0,0
S00088988,57,50,4,3,0,0,0,0,0
S00088989,51,22,18,8,2,1,0,0,0
S00088990,63,31,24,5,2,1,0,0,0
S00088991,81,50,24,3,2,1,0,1,0
S00088992,72,58,14,0,0,0,0,0,0
S00088993,61,25,23,5,4,3,1,0,0
S00088994,34,17,14,1,1,1,0,0,0
S00088995,36,13,20,3,0,0,0,0,0
S00088996,41,10,14,7,8,1,1,0,0
S00088997,67,20,25,10,8,4,0,0,0
S00088998,57,20,17,9,10,1,0,0,0
S00088999,54,16,19,12,5,1,0,0,1
S00089000,89,61,25,3,0,0,0,0,0
S00089001,55,19,19,11,5,1,0,0,0
S00089002,53,16,16,6,9,3,3,0,0
S00089003,43,11,21,8,1,2,0,0,0
S00089004,51,24,16,6,3,1,1,0,0
S00089005,56,11,23,12,10,0,0,0,0
S00089006,42,8,16,9,8,1,0,0,0
S00089007,62,26,24,4,6,1,0,1,0
S00089008,48,24,23,1,0,0,0,0,0
S00089009,61,24,29,8,0,0,0,0,0
S00089010,67,29,26,3,6,3,0,0,0
S00089011,86,46,24,11,3,1,0,1,0
S00089012,61,28,20,7,4,0,2,0,0
S00089013,41,22,13,4,1,1,0,0,0
S00089014,67,31,25,9,1,1,0,0,0
S00089015,54,23,25,5,0,1,0,0,0
S00089016,54,27,20,5,2,0,0,0,0
S00089017,50,24,19,7,0,0,0,0,0
S00089018,54,14,24,3,10,1,2,0,0
S00089019,70,28,28,7,6,1,0,0,0
S00089020,48,25,16,6,1,0,0,0,0
S00089021,45,22,14,4,4,1,0,0,0
S00089022,52,30,18,4,0,0,0,0,0
S00089023,48,16,19,9,2,2,0,0,0
S00089024,47,32,13,1,1,0,0,0,0
S00089025,48,33,15,0,0,0,0,0,0
S00089026,44,24,17,3,0,0,0,0,0
S00089027,71,42,28,1,0,0,0,0,0
S00089028,59,40,19,0,0,0,0,0,0
S00089029,59,39,17,3,0,0,0,0,0
S00089030,48,31,16,1,0,0,0,0,0
S00089031,80,39,29,7,2,1,2,0,0
S00089032,30,16,6,3,3,1,0,0,1
S00089033,51,23,19,4,3,2,0,0,0
S00089034,34,16,13,4,1,0,0,0,0
S00089035,73,52,13,4,4,0,0,0,0
S00089036,39,23,11,3,2,0,0,0,0
S00089037,54,26,23,5,0,0,0,0,0
S00089038,39,23,13,3,0,0,0,0,0
S00089039,44,20,15,6,3,0,0,0,0
S00089040,39,11,12,11,2,3,0,0,0
S00089041,70,23,30,9,6,1,0,1,0
S00089042,28,6,10,6,6,0,0,0,0
S00089043,59,17,15,12,10,5,0,0,0
S00089044,34,14,8,7,5,0,0,0,0
S00089045,36,12,14,8,1,1,0,0,0
S00089046,43,11,20,4,8,0,0,0,0
S00089047,52,21,18,6,4,2,0,0,1
S00089048,46,17,19,5,4,1,0,0,0
S00089049,53,15,14,12,9,3,0,0,0
S00089050,48,9,25,7,7,0,0,0,0
S00089051,71,27,27,6,8,3,0,0,0
S00089052,70,24,25,13,5,3,0,0,0
S00089053,68,42,14,7,3,1,1,0,0
S00089054,48,29,13,3,3,0,0,0,0
S00089055,57,39,11,4,2,1,0,0,0
S00089056,50,35,11,2,2,0,0,0,0
S00089057,57,37,13,6,1,0,0,0,0
S00089058,70,49,16,5,0,0,0,0,0
S00089059,39,25,12,2,0,0,0,0,0
S00089060,38,25,6,5,1,1,0,0,0
S00089061,41,20,11,8,1,1,0,0,0
S00089062,32,19,9,1,2,1,0,0,0
S00089063,48,23,17,6,2,0,0,0,0
S00089064,55,34,14,6,1,0,0,0,0
S00089065,67,48,13,3,3,0,0,0,0
S00089066,39,20,15,2,2,0,0,0,0
S00089067,52,23,16,7,2,0,4,0,0
S00089068,42,24,9,5,4,0,0,0,0
S00089069,32,16,9,3,3,1,0,0,0
S00089070,71,32,25,11,3,0,0,0,0
S00089071,57,38,12,3,3,1,0,0,0
S00089072,73,52,10,6,2,3,0,0,0
S00089073,63,41,17,1,4,0,0,0,0
S00089074,75,37,18,11,6,3,0,0,0
S00089075,46,18,19,5,4,0,0,0,0
S00089076,75,47,20,6,2,0,0,0,0
S00089077,55,31,18,3,1,2,0,0,0
S00089078,31,14,14,2,1,0,0,0,0
S00089079,25,3,12,8,1,0,1,0,0
S00089080,42,14,11,8,6,2,1,0,0
S00089081,50,30,16,4,0,0,0,0,0
S00089082,44,19,17,5,2,0,1,0,0
S00089083,53,16,16,13,7,1,0,0,0
S00089084,47,16,19,4,6,2,0,0,0
S00089085,54,16,16,15,7,0,0,0,0
S00089086,38,9,11,10,4,3,0,0,1
S00089087,75,35,23,9,7,1,0,0,0
S00089088,45,20,15,3,3,2,2,0,0
S00089089,55,29,8,11,4,2,1,0,0
S00089090,52,21,14,4,5,6,0,1,1
S00089091,49,6,17,6,11,7,1,1,0
S00089092,53,6,17,9,9,7,2,3,0
S00089093,78,37,17,11,6,5,1,1,0
S00089094,40,15,14,3,4,2,2,0,0
