output_area,All household spaces,Occupied household spaces,Unoccupied household spaces,Unoccupied household spaces: Second residence/holiday accommodation,Unoccupied household spaces: Vacant
S00088956,74,74,0,0,0
S00088957,28,26,2,0,2
S00088958,27,27,0,0,0
S00088959,35,32,3,0,3
S00088960,25,23,2,1,1
S00088961,23,22,1,1,0
S00088962,29,26,3,1,2
S00088963,34,33,1,1,0
S00088964,34,33,1,0,1
S00088965,64,58,6,1,5
S00088966,52,50,2,0,2
S00088967,25,22,3,1,2
S00088968,21,21,0,0,0
S00088969,57,56,1,0,1
S00088970,50,48,2,2,0
S00088971,44,41,3,2,1
S00088972,79,75,4,0,4
S00088973,75,71,4,2,2
S00088974,60,59,1,0,1
S00088975,39,39,0,0,0
S00088976,49,45,4,4,0
S00088977,44,40,4,3,1
S00088978,43,33,10,10,0
S00088979,58,49,9,6,3
S00088980,47,45,2,1,1
S00088981,43,43,0,0,0
S00088982,40,39,1,1,0
S00088983,44,44,0,0,0
S00088984,45,44,1,0,1
S00088985,54,50,4,0,4
S00088986,84,77,7,3,4
S00088987,44,37,7,1,6
S00088988,59,57,2,0,2
S00088989,54,51,3,1,2
S00088990,64,63,1,0,1
S00088991,83,81,2,1,1
S00088992,75,72,3,0,3
S00088993,65,61,4,0,4
S00088994,35,34,1,0,1
S00088995,40,36,4,2,2
S00088996,42,41,1,0,1
S00088997,75,67,8,6,2
S00088998,61,57,4,4,0
S00088999,56,54,2,0,2
S00089000,89,89,0,0,0
S00089001,59,55,4,4,0
S00089002,60,53,7,7,0
S00089003,43,43,0,0,0
S00089004,52,51,1,0,1
S00089005,57,56,1,0,1
S00089006,43,42,1,0,1
S00089007,67,62,5,5,0
S00089008,56,48,8,7,1
S00089009,65,61,4,0,4
S00089010,71,67,4,2,2
S00089011,92,86,6,2,4
S00089012,65,61,4,4,0
S00089013,42,41,1,0,1
S00089014,69,67,2,2,0
S00089015,55,54,1,0,1
S00089016,61,54,7,6,1
S00089017,57,50,7,7,0
S00089018,55,54,1,0,1
S00089019,71,70,1,0,1
S00089020,48,48,0,0,0
S00089021,46,45,1,1,0
S00089022,54,52,2,0,2
S00089023,48,48,0,0,0
S00089024,47,47,0,0,0
S00089025,48,48,0,0,0
S00089026,45,44,1,0,1
S00089027,73,71,2,1,1
S00089028,60,59,1,0,1
S00089029,61,59,2,1,1
S00089030,48,48,0,0,0
S00089031,80,80,0,0,0
S00089032,34,30,4,0,4
S00089033,51,51,0,0,0
S00089034,35,34,1,0,1
S00089035,77,73,4,1,3
S00089036,40,39,1,0,1
S00089037,54,54,0,0,0
S00089038,43,39,4,4,0
S00089039,53,44,9,2,7
S00089040,41,39,2,1,1
S00089041,72,70,2,1,1
S00089042,42,28,14,14,0
S00089043,66,59,7,6,1
S00089044,39,34,5,3,2
S00089045,36,36,0,0,0
S00089046,43,43,0,0,0
S00089047,55,52,3,2,1
S00089048,48,46,2,2,0
S00089049,53,53,0,0,0
S00089050,50,48,2,0,2
S00089051,73,71,2,1,1
S00089052,71,70,1,1,0
S00089053,72,68,4,3,1
S00089054,55,48,7,7,0
S00089055,71,57,14,12,2
S00089056,53,50,3,0,3
S00089057,63,57,6,5,1
S00089058,71,70,1,1,0
S00089059,40,39,1,1,0
S00089060,38,38,0,0,0
S00089061,47,41,6,4,2
S00089062,32,32,0,0,0
S00089063,51,48,3,0,3
S00089064,58,55,3,0,3
S00089065,75,67,8,7,1
S00089066,51,39,12,12,0
S00089067,59,52,7,7,0
S00089068,47,42,5,5,0
S00089069,37,32,5,4,1
S00089070,71,71,0,0,0
S00089071,62,57,5,0,5
S00089072,77,73,4,0,4
S00089073,73,63,10,5,5
S00089074,79,75,4,1,3
S00089075,46,46,0,0,0
S00089076,85,75,10,8,2
S00089077,63,55,8,7,1
S00089078,32,31,1,1,0
S00089079,28,25,3,3,0
S00089080,48,42,6,6,0
S00089081,52,50,2,1,1
S00089082,45,44,1,0,1
S00089083,57,53,4,1,3
S00089084,48,47,1,1,0
S00089085,56,54,2,2,0
S00089086,40,38,2,0,2
S00089087,80,75,5,0,5
S00089088,49,45,4,4,0
S00089089,55,55,0,0,0
S00089090,54,52,2,1,1
S00089091,51,49,2,2,0
S00089092,54,53,1,1,0
S00089093,84,78,6,6,0
S00089094,49,40,9,7,2
S00089095,51,51,0,0,0
S00089096,42,40,2,1,1
S00089097,48,47,1,0,1
S00089098,37,34,3,0,3
S00089099,53,50,3,0,3
S00089100,46,45,1,0,1
S00089101,42,41,1,0,1
S00089102,42,38,4,0,4
S00089103,56,52,4,2,2
S00089104,45,42,3,3,0
S00089105,68,64,4,2,2
S00089106,56,51,5,5,0
S00089107,50,43,7,5,2
S00089108,48,46,2,2,0
S00089109,34,32,2,1,1
S00089110,64,60,4,2,2
S00089111,71,63,8,6,2
S00089112,97,91,6,6,0
S00089113,52,47,5,3,2
S00089114,51,50,1,1,0
S00089115,77,72,5,3,2
S00089116,70,68,2,2,0
S00089117,74,67,7,6,1
S00089118,61,61,0,0,0
S00089119,42,42,0,0,0
S00089120,35,31,4,0,4
S00089121,82,66,16,5,11
S00089122,44,38,6,3,3
S00089123,58,56,2,2,0
S00089124,42,39,3,3,0
S00089125,67,64,3,3,0
S00089126,48,43,5,5,0
S00089127,41,41,0,0,0
S00089128,40,39,1,1,0
S00089129,71,71,0,0,0
S00089130,44,43,1,1,0
S00089131,42,40,2,2,0
S00089132,43,41,2,2,0
S00089133,44,41,3,1,2
S00089134,62,61,1,1,0
S00089135,74,73,1,0,1
S00089136,52,52,0,0,0
S00089137,46,46,0,0,0
S00089138,49,47,2,0,2
S00089139,40,37,3,2,1
S00089140,47,45,2,2,0
S00089141,50,49,1,0,1
S00089142,60,53,7,6,1
S00089143,42,41,1,1,0
S00089144,46,44,2,1,1
S00089145,54,52,2,2,0
S00089146,44,43,1,1,0
S00089147,48,47,1,0,1
S00089148,50,44,6,4,2
S00089149,44,40,4,3,1
S00089150,69,69,0,0,0
S00089151,42,37,5,5,0
S00089152,43,42,1,0,1
S00089153,40,40,0,0,0
S00089154,41,37,4,4,0
S00089155,41,39,2,2,0
S00089156,49,49,0,0,0
S00089157,52,48,4,3,1
S00089158,56,55,1,1,0
S00089159,43,43,0,0,0
S00089160,50,50,0,0,0
S00089161,44,43,1,0,1
S00089162,36,34,2,0,2
S00089163,52,51,1,0,1
S00089164,40,39,1,0,1
S00089165,50,49,1,0,1
S00089166,74,71,3,2,1
S00089167,62,52,10,9,1
S00089168,55,53,2,0,2
S00089169,50,46,4,4,0
S00089170,47,46,1,0,1
S00089171,42,41,1,1,0
S00089172,35,31,4,4,0
S00089173,70,62,8,8,0
S00089174,72,71,1,1,0
S00089175,67,64,3,3,0
S00089176,42,42,0,0,0
S00089177,68,67,1,0,1
S00089178,69,66,3,0,3
S00089179,78,77,1,0,1
S00089180,60,60,0,0,0
S00089181,46,45,1,1,0
S00089182,48,43,5,5,0
S00089183,48,41,7,5,2
S00089184,46,46,0,0,0
S00089185,57,55,2,0,2
S00089186,52,51,1,1,0
S00089187,42,38,4,2,2
S00089188,72,70,2,0,2
S00089189,76,72,4,1,3
S00089190,69,59,10,1,9
S00089191,114,72,42,4,38
S00089192,97,65,32,17,15
S00089193,102,76,26,7,19
S00089194,78,65,13,12,1
S00089195,53,51,2,2,0
S00089196,56,53,3,1,2
S00089197,54,52,2,0,2
S00089198,58,54,4,4,0
S00089199,27,26,1,1,0
S00089200,34,34,0,0,0
S00089201,43,43,0,0,0
S00089202,78,72,6,2,4
S00089203,79,75,4,0,4
S00089204,54,52,2,0,2
S00089205,56,52,4,0,4
S00089206,51,51,0,0,0
S00089207,44,40,4,0,4
S00089208,52,51,1,0,1
S00089209,41,41,0,0,0
S00089210,53,52,1,0,1
S00089211,49,49,0,0,0
S00089212,67,62,5,0,5
S00089213,44,43,1,0,1
S00089214,43,41,2,1,1
S00089215,40,39,1,0,1
S00089216,73,68,5,0,5
S00089217,54,52,2,0,2
S00089218,85,84,1,1,0
S00089219,55,55,0,0,0
S00089220,42,39,3,0,3
S00089221,90,81,9,2,7
S00089222,53,50,3,1,2
S00089223,49,48,1,0,1
S00089224,69,67,2,0,2
S00089225,42,41,1,0,1
S00089226,39,38,1,0,1
S00089227,92,84,8,0,8
S00089228,42,41,1,0,1
S00089229,54,51,3,1,2
S00089230,52,52,0,0,0
S00089231,65,59,6,3,3
S00089232,51,47,4,2,2
S00089233,31,31,0,0,0
S00089234,50,44,6,5,1
S00089235,71,69,2,1,1
S00089236,60,58,2,0,2
S00089237,55,53,2,0,2
S00089238,62,59,3,0,3
S00089239,43,42,1,0,1
S00089240,76,73,3,0,3
S00089241,30,30,0,0,0
S00089242,55,51,4,0,4
S00089243,52,51,1,0,1
S00089244,58,56,2,0,2
S00089245,46,45,1,0,1
S00089246,38,37,1,0,1
S00089247,77,76,1,0,1
S00089248,91,91,0,0,0
S00089249,43,43,0,0,0
S00089250,37,36,1,0,1
S00089251,47,42,5,0,5
S00089252,44,44,0,0,0
S00089253,62,60,2,0,2
S00089254,57,56,1,0,1
S00089255,56,53,3,0,3
S00089256,49,46,3,0,3
S00089257,45,43,2,0,2
S00089258,57,50,7,2,5
S00089259,44,42,2,1,1
S00089260,57,55,2,2,0
S00089261,75,75,0,0,0
S00089262,71,69,2,2,0
S00089263,72,66,6,4,2
S00089264,78,77,1,1,0
S00089265,59,56,3,3,0
S00089266,64,59,5,5,0
S00089267,54,53,1,0,1
S00089268,72,71,1,0,1
S00089269,62,62,0,0,0
S00089270,82,80,2,0,2
S00089271,38,38,0,0,0
S00089272,26,26,0,0,0
S00089273,63,62,1,0,1
S00089274,65,64,1,0,1
S00089275,55,53,2,2,0
S00089276,43,41,2,0,2
S00089277,72,72,0,0,0
S00089278,56,53,3,0,3
S00089279,30,30,0,0,0
S00089280,31,27,4,4,0
S00089281,44,41,3,1,2
S00089282,27,27,0,0,0
S00089283,32,31,1,1,0
S00089284,52,51,1,0,1
