output_area,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S00088956,74,14,53,1,2,0,3,0,1
S00088957,26,13,9,0,0,0,4,0,0
S00088958,27,9,15,1,0,0,2,0,0
S00088959,32,7,12,0,4,0,6,0,3
S00088960,23,10,11,0,0,0,2,0,0
S00088961,22,10,5,0,0,0,5,1,1
S00088962,26,13,9,0,1,0,1,0,2
S00088963,33,18,11,0,0,0,1,1,2
S00088964,33,14,15,0,0,0,4,0,0
S00088965,58,32,14,0,3,0,8,0,1
S00088966,50,15,16,0,12,1,6,0,0
S00088967,22,10,7,0,0,0,4,0,1
S00088968,21,12,5,0,1,1,2,0,0
S00088969,56,21,28,0,1,0,2,2,2
S00088970,48,12,15,0,0,0,19,0,2
S00088971,41,10,13,0,0,0,12,4,2
S00088972,75,10,25,1,3,1,26,8,1
S00088973,71,21,6,0,35,0,8,1,0
S00088974,59,4,7,1,44,0,2,1,0
S00088975,39,4,17,0,3,0,14,1,0
S00088976,45,7,8,0,2,1,22,2,3
S00088977,40,4,6,0,1,0,26,2,1
S00088978,33,6,11,0,0,1,9,4,2
S00088979,49,6,18,0,3,0,21,0,1
S00088980,45,5,9,0,9,0,20,1,1
S00088981,43,6,9,0,5,10,13,0,0
S00088982,39,7,8,0,4,1,17,1,1
S00088983,44,0,0,0,1,41,2,0,0
S00088984,44,3,5,0,1,27,8,0,0
S00088985,50,7,14,0,3,0,22,3,1
S00088986,77,4,22,0,1,2,43,3,2
S00088987,37,4,5,1,1,1,23,2,0
S00088988,57,1,0,0,1,48,6,1,0
S00088989,51,2,11,2,1,0,29,3,3
S00088990,63,8,17,0,11,2,20,4,1
S00088991,81,14,16,1,3,0,43,3,1
S00088992,72,3,2,0,65,1,1,0,0
S00088993,61,5,12,1,1,19,15,3,5
S00088994,34,3,2,1,2,0,23,1,2
S00088995,36,1,8,0,0,0,23,4,0
S00088996,41,13,4,0,14,0,10,0,0
S00088997,67,28,28,0,0,0,9,1,1
S00088998,57,5,28,0,0,0,22,0,2
S00088999,54,23,20,0,1,0,8,1,1
S00089000,89,11,38,0,2,0,31,5,2
S00089001,55,38,13,0,0,0,3,0,1
S00089002,53,18,22,0,1,0,11,1,0
S00089003,43,8,8,0,0,1,25,0,1
S00089004,51,10,21,0,1,0,18,1,0
S00089005,56,26,25,0,0,0,4,0,1
S00089006,42,14,19,0,0,1,8,0,0
S00089007,62,17,28,0,0,0,16,1,0
S00089008,48,4,30,0,0,0,11,2,1
S00089009,61,6,25,0,0,2,27,1,0
S00089010,67,14,40,0,0,0,11,2,0
S00089011,86,4,12,0,4,26,36,3,1
S00089012,61,16,19,0,1,0,22,3,0
S00089013,41,9,17,0,2,0,12,1,0
S00089014,67,9,31,3,0,1,19,1,3
S00089015,54,3,22,0,0,0,27,1,1
S00089016,54,10,16,0,1,0,26,1,0
S00089017,50,3,19,0,0,0,27,0,1
S00089018,54,24,17,0,0,0,12,0,1
S00089019,70,12,26,0,13,1,18,0,0
S00089020,48,2,18,0,2,0,25,1,0
S00089021,45,20,13,0,0,0,11,0,1
S00089022,52,12,16,0,2,0,20,1,1
S00089023,48,17,15,0,0,0,10,3,3
S00089024,47,6,16,0,1,1,23,0,0
S00089025,48,6,15,0,0,1,24,0,2
S00089026,44,5,19,0,0,0,17,2,1
S00089027,71,4,27,0,1,1,33,1,4
S00089028,59,6,29,0,0,0,24,0,0
S00089029,59,7,22,0,5,5,13,6,1
S00089030,48,1,22,0,0,2,22,1,0
S00089031,80,8,18,19,1,2,27,2,3
S00089032,30,4,14,0,1,0,10,1,0
S00089033,51,6,19,0,4,2,19,1,0
S00089034,34,9,10,0,1,1,10,3,0
S00089035,73,3,20,1,1,31,16,1,0
S00089036,39,5,10,0,0,4,18,1,1
S00089037,54,8,15,2,0,0,24,1,4
