output_area,All occupied household spaces,One room,Two rooms,Three rooms,Four rooms,Five rooms,Six rooms,Seven rooms,Eight rooms,Nine or more rooms
S00088956,74,0,0,1,3,5,12,19,19,15
S00088957,26,0,0,0,2,4,6,5,3,6
S00088958,27,0,0,0,0,1,1,0,8,17
S00088959,32,0,1,1,5,5,3,7,1,9
S00088960,23,0,0,0,0,0,2,3,3,15
S00088961,22,0,1,0,1,2,2,4,2,10
S00088962,26,0,0,0,2,1,4,1,5,13
S00088963,33,0,0,4,3,4,6,4,6,6
S00088964,33,0,0,1,2,4,15,7,1,3
S00088965,58,0,0,2,6,10,15,6,6,13
S00088966,50,7,1,3,6,11,2,12,2,6
S00088967,22,0,0,1,4,2,5,3,2,5
S00088968,21,0,0,0,4,3,3,3,1,7
S00088969,56,0,0,0,5,16,14,5,9,7
S00088970,48,0,2,0,11,4,4,12,6,9
S00088971,41,0,2,6,10,8,4,1,2,8
S00088972,75,0,11,26,27,4,5,1,1,0
S00088973,71,0,1,6,57,3,2,1,0,1
S00088974,59,2,11,13,9,23,0,1,0,0
S00088975,39,0,4,12,10,9,1,1,2,0
S00088976,45,0,2,23,16,3,1,0,0,0
S00088977,40,1,5,15,14,3,2,0,0,0
S00088978,33,0,3,9,17,3,0,1,0,0
S00088979,49,0,2,15,31,1,0,0,0,0
S00088980,45,0,8,13,19,3,1,1,0,0
S00088981,43,2,12,12,10,6,1,0,0,0
S00088982,39,0,4,12,16,2,2,1,0,2
S00088983,44,0,3,34,4,3,0,0,0,0
S00088984,44,1,6,30,5,2,0,0,0,0
S00088985,50,0,6,37,6,1,0,0,0,0
S00088986,77,0,13,33,24,5,1,1,0,0
S00088987,37,2,4,8,17,4,1,0,0,1
S00088988,57,3,6,40,6,2,0,0,0,0
S00088989,51,3,3,16,27,1,0,1,0,0
S00088990,63,0,14,29,18,2,0,0,0,0
S00088991,81,1,15,43,18,3,0,0,0,1
S00088992,72,0,11,53,5,1,0,1,0,1
S00088993,61,2,2,20,26,8,3,0,0,0
S00088994,34,1,0,1,31,0,1,0,0,0
S00088995,36,0,3,15,16,2,0,0,0,0
S00088996,41,0,0,2,7,29,3,0,0,0
S00088997,67,0,0,3,10,10,15,12,7,10
S00088998,57,0,0,7,13,11,5,8,12,1
S00088999,54,0,0,1,19,12,12,3,0,7
S00089000,89,0,3,44,34,3,0,4,0,1
S00089001,55,0,0,2,10,19,12,5,6,1
S00089002,53,0,0,2,16,7,5,3,9,11
S00089003,43,0,2,17,5,4,4,5,5,1
S00089004,51,2,1,16,12,6,0,6,1,7
S00089005,56,0,0,0,5,5,11,13,16,6
S00089006,42,2,1,1,5,3,12,3,7,8
S00089007,62,2,7,11,20,8,9,2,2,1
S00089008,48,0,1,1,45,1,0,0,0,0
S00089009,61,0,1,15,28,6,10,0,1,0
S00089010,67,0,1,21,21,11,8,4,1,0
S00089011,86,0,8,47,19,6,3,0,0,3
S00089012,61,0,1,10,44,4,0,0,2,0
S00089013,41,0,3,17,20,0,0,1,0,0
S00089014,67,0,5,4,36,16,3,0,2,1
S00089015,54,0,1,1,46,5,0,0,0,1
S00089016,54,1,9,22,20,0,1,0,1,0
S00089017,50,1,2,6,29,10,1,1,0,0
S00089018,54,0,1,5,4,5,9,17,7,6
S00089019,70,0,4,22,15,12,10,3,2,2
S00089020,48,0,2,27,11,6,2,0,0,0
S00089021,45,0,4,10,8,6,8,4,3,2
S00089022,52,0,7,31,13,1,0,0,0,0
S00089023,48,0,0,3,12,28,4,1,0,0
S00089024,47,0,6,30,9,2,0,0,0,0
S00089025,48,0,6,33,9,0,0,0,0,0
S00089026,44,0,5,23,16,0,0,0,0,0
S00089027,71,2,10,50,6,1,0,2,0,0
S00089028,59,0,4,43,10,1,1,0,0,0
S00089029,59,1,13,28,10,5,1,1,0,0
S00089030,48,1,6,32,9,0,0,0,0,0
S00089031,80,0,6,26,38,9,1,0,0,0
S00089032,30,0,5,1,13,2,5,0,2,2
S00089033,51,0,4,16,25,3,1,1,1,0
S00089034,34,0,6,10,9,3,2,1,0,3
S00089035,73,2,1,31,33,4,1,1,0,0
S00089036,39,0,5,16,15,2,1,0,0,0
S00089037,54,0,1,22,30,1,0,0,0,0
