output_area,All people in households,Up to 0.5 persons per room,Over 0.5 and up to 1.0 persons per room,Over 1.0 and up to 1.5 persons per room,Over 1.5 persons per room
S00088956,230,147,74,9,0
S00088957,66,52,14,0,0
S00088958,90,69,21,0,0
S00088959,83,53,30,0,0
S00088960,68,60,8,0,0
S00088961,74,36,25,13,0
S00088962,86,72,14,0,0
S00088963,89,60,23,0,6
S00088964,88,57,27,4,0
S00088965,144,110,22,12,0
S00088966,120,68,29,7,16
S00088967,52,38,14,0,0
S00088968,56,46,10,0,0
S00088969,154,77,71,6,0
S00088970,105,82,17,6,0
S00088971,78,56,22,0,0
S00088972,129,69,51,9,0
S00088973,144,88,48,0,8
S00088974,120,46,72,0,2
S00088975,77,32,45,0,0
S00088976,69,44,25,0,0
S00088977,60,41,19,0,0
S00088978,60,34,26,0,0
S00088979,85,49,36,0,0
S00088980,66,56,10,0,0
S00088981,57,43,14,0,0
S00088982,66,46,20,0,0
S00088983,65,36,26,3,0
S00088984,55,39,16,0,0
S00088985,80,28,52,0,0
S00088986,131,65,66,0,0
S00088987,63,41,22,0,0
S00088988,67,49,18,0,0
S00088989,95,44,48,0,3
S00088990,107,57,38,8,4
S00088991,127,63,55,5,4
S00088992,86,64,22,0,0
S00088993,123,54,51,18,0
S00088994,57,42,10,5,0
S00088995,62,41,21,0,0
S00088996,102,39,57,6,0
S00088997,152,115,37,0,0
S00088998,126,76,50,0,0
S00088999,123,91,32,0,0
S00089000,120,92,28,0,0
S00089001,115,80,35,0,0
S00089002,135,97,38,0,0
S00089003,91,40,43,3,5
S00089004,97,52,45,0,0
S00089005,133,108,25,0,0
S00089006,104,79,22,3,0
S00089007,122,67,51,0,4
S00089008,73,70,3,0,0
S00089009,106,81,25,0,0
S00089010,129,74,55,0,0
S00089011,151,69,76,6,0
S00089012,117,66,41,6,4
S00089013,69,36,29,4,0
S00089014,117,84,30,3,0
S00089015,93,74,19,0,0
S00089016,90,40,41,3,6
S00089017,83,63,18,0,2
S00089018,128,72,52,0,4
S00089019,134,84,45,0,5
S00089020,79,44,35,0,0
S00089021,83,63,20,0,0
S00089022,78,40,38,0,0
S00089023,99,55,39,5,0
S00089024,65,42,23,0,0
S00089025,63,45,18,0,0
