output_area,Person,Hectarage of Output Area,Density (number of persons per hectare)
S00088956,230,8,28.13
S00088957,66,213,0.31
S00088958,90,3,26.57
S00088959,83,238,0.35
S00088960,68,24,2.83
S00088961,217,131,1.65
S00088962,86,238,0.36
S00088963,89,413,0.22
S00088964,88,4,23.09
S00088965,144,1028,0.14
S00088966,120,177,0.68
S00088967,52,541,0.10
S00088968,56,142,0.39
S00088969,154,963,0.16
S00088970,105,4,27.45
S00088971,78,2,34.14
S00088972,129,2,73.18
S00088973,144,0,568.71
S00088974,120,1,196.97
S00088975,77,1,126.72
S00088976,69,1,114.96
S00088977,60,2,38.77
S00088978,60,3,17.92
S00088979,85,1,75.42
S00088980,66,1,85.98
S00088981,57,1,41.49
S00088982,66,1,51.77
S00088983,65,0,214.35
S00088984,55,0,316.79
S00088985,80,0,282.29
S00088986,131,11,12.42
S00088987,63,1,51.20
S00088988,67,0,220.11
S00088989,95,0,218.94
S00088990,107,1,174.11
S00088991,127,1,231.49
S00088992,541,4,150.00
S00088993,123,0,697.88
S00088994,57,1,65.54
S00088995,62,1,93.05
S00088996,102,1,148.48
S00088997,152,3,53.44
S00088998,126,6,19.66
S00088999,123,15,8.03
S00089000,120,1,116.13
S00089001,115,3,39.41
S00089002,135,2,64.87
S00089003,118,2,69.97
S00089004,97,1,70.68
S00089005,133,3,52.50
S00089006,104,2,64.50
S00089007,122,1,126.81
S00089008,73,1,78.37
S00089009,106,1,85.15
S00089010,129,2,84.71
S00089011,155,1,110.37
S00089012,117,1,85.76
S00089013,69,0,148.11
S00089014,117,1,109.07
S00089015,93,0,216.94
S00089016,90,0,256.71
S00089017,83,1,115.45
S00089018,148,3,45.96
S00089019,134,4,34.75
S00089020,79,1,147.58
S00089021,83,2,48.94
S00089022,96,1,166.50
S00089023,99,1,82.46
S00089024,65,0,223.50
S00089025,63,0,207.00
S00089026,67,0,208.15
S00089027,107,1,191.14
S00089028,78,0,215.58
S00089029,82,1,153.26
S00089030,66,0,164.54
S00089031,143,1,134.52
S00089032,84,1,96.55
S00089033,95,1,97.35
S00089034,58,1,78.26
S00089035,106,2,44.39
S00089036,67,1,95.86
S00089037,87,0,261.94
S00089038,58,28,2.04
S00089039,80,2,36.40
S00089040,91,1,72.14
S00089041,225,4,57.68
S00089042,68,1,129.66
S00089043,148,1,115.43
S00089044,71,1,80.11
S00089045,73,1,80.53
S00089046,248,4,56.05
S00089047,110,2,45.97
S00089048,91,2,47.11
S00089049,130,2,62.85
S00089050,108,2,51.66
S00089051,146,1,105.63
S00089052,148,4,33.41
S00089053,114,1,110.77
S00089054,76,0,158.54
S00089055,86,2,39.87
S00089056,71,1,140.44
S00089057,85,1,111.29
S00089058,96,2,58.98
S00089059,55,0,134.15
S00089060,61,0,131.96
S00089061,75,0,164.10
S00089062,53,0,172.24
S00089063,83,0,194.68
S00089064,84,1,96.69
S00089065,95,0,214.81
S00089066,64,1,67.90
S00089067,108,1,146.19
S00089068,73,11,6.55
S00089069,60,0,266.79
S00089070,127,3,38.56
S00089071,88,0,210.35
S00089072,113,1,132.75
S00089073,94,1,104.70
S00089074,145,1,160.86
S00089075,87,0,189.20
S00089076,113,2,72.88
S00089077,90,1,105.23
S00089078,52,1,58.68
S00089079,61,1,67.42
S00089080,100,1,146.20
S00089081,74,1,85.05
S00089082,82,1,72.28
